Y,x1,x2,x3,x4,x5
9.90057,3.6,7.5,1,1,1
11.6277,0.25,7.5,1,1,1
11.19784,0.25,15,1,1,1
10.64285,0.25,24,1,1,1
10.06555,2.6,7.5,1,1,1
10.972,1.5,0.25,1,1,0
10.15522,4.8,0.25,1,1,1
9.74701,4.8,7.5,1,1,1
8.67999,6,24,1,1,0
10.46535,3,0.25,1,0,0
10.4244,3,0.75,1,0,0
10.18141,3,3,1,0,0
9.98664,3,7.5,1,0,0
9.03475,3,24,1,0,0
10.52037,1.7,3,1,0,1
9.33499,1.7,24,1,0,1
10.13132,2.3,7.5,1,0,0
10.64515,2.1,0.75,1,0,1
10.38642,2.1,3,1,0,1
8.96047,3.6,24,1,1,1
12.2809,0.25,0.25,1,1,1
11.6277,0.25,7.5,1,1,1
11.19784,0.25,15,1,1,1
9.64618,2.6,15,1,1,1
9.12267,2.6,24,1,1,1
10.87242,1.5,0.75,1,1,0
10.59888,1.5,3,1,1,0
9.95272,4.8,3,1,1,1
9.74701,4.8,7.5,1,1,1
9.65121,6,7.5,1,1,0
9.38029,6,15,1,1,0
10.82763,1.8,0.25,1,1,0
10.47917,1.8,3,1,1,0
10.38415,3.4,0.25,1,0,1
10.12025,3.4,3,1,0,1
8.96824,3.4,24,1,0,1
10.46535,3,0.25,1,0,0
10.4244,3,0.75,1,0,0
10.18141,3,3,1,0,0
10.64515,2.1,0.75,1,0,1
10.32853,3.6,0.25,1,1,1
10.31618,3.6,0.75,1,1,1
11.79892,0.25,3,1,1,1
11.19784,0.25,15,1,1,1
10.5125,2.6,0.75,1,1,1
10.26973,2.6,3,1,1,1
9.64618,2.6,15,1,1,1
10.15522,4.8,0.75,1,1,1
9.95272,4.8,3,1,1,1
9.74701,4.8,7.5,1,1,1
8.79724,4.8,24,1,1,1
10.03593,6,0.75,1,1,0
8.67999,6,24,1,1,0
10.47917,1.8,3,1,1,0
10.26848,1.8,7.5,1,1,0
9.85484,1.8,15,1,1,0
8.96824,3.4,24,1,0,1
9.03475,3,24,1,0,0
10.31582,1.7,7.5,1,0,1
9.47611,3.6,15,1,0,1
10.4244,3,0.75,1,0,0
10.18141,3,3,1,0,0
9.98664,3,7.5,1,0,0
9.57988,3,15,1,0,0
10.13132,2.3,7.5,1,0,0
10.70465,2.1,0.25,1,0,1
9.23951,2.1,24,1,0,1
10.6929,3.6,0.75,0,1,1
10.05611,3.6,24,0,1,1
12.21539,0.25,3,0,1,1
12.01662,0.25,7.5,0,1,1
11.77242,0.25,24,0,1,1
10.68212,2.6,3,0,1,1
10.48865,2.6,7.5,0,1,1
9.91894,4.8,24,0,1,1
10.42148,6,0.25,0,1,0
10.42148,6,0.75,0,1,0
9.81754,6,24,0,1,0
10.33222,3.4,15,0,0,1
10.40412,3,15,0,0,0
10.15113,3,24,0,0,0
10.92736,1.7,3,0,0,1
10.6929,3.6,0.75,0,0,1
10.30772,3.6,15,0,0,1
10.05611,3.6,24,0,0,1
10.81903,3,0.25,0,0,0
10.40412,3,7.5,0,0,0
10.94872,2.3,0.75,0,0,0
10.5416,2.3,15,0,0,0
10.30091,2.3,24,0,0,0
11.00943,2.1,0.75,0,0,1
11.06503,3.6,0.75,0,1,1
12.97495,0.25,0.25,0,1,1
12.88024,0.25,0.75,0,1,1
12.43423,0.25,7.5,0,1,1
10.85226,2.6,7.5,0,1,1
10.85226,2.6,15,0,1,1
11.58194,1.5,0.75,0,1,0
10.57448,4.8,15,0,1,1
10.80374,6,0.25,0,1,0
10.80374,6,0.75,0,1,0
10.46668,6,7.5,0,1,0
10.74732,3.4,15,0,0,1
10.01561,3.4,24,0,0,1
11.16085,3,0.75,0,0,0
10.8074,3,15,0,0,0
11.06503,3.6,0.75,0,0,1
10.8074,3,15,0,0,0
11.21258,2.1,3,0,0,1
10.28067,2.1,24,0,0,1
11.00387,3.6,15,0,1,1
10.9245,3.6,24,0,1,1
11.68433,1.5,3,0,1,0
11.41076,1.5,24,0,1,0
10.75641,6,7.5,0,1,0
10.75641,6,15,0,1,0
10.67713,6,24,0,1,0
11.76755,1.8,0.25,0,1,0
11.38331,1.8,7.5,0,1,0
11.38331,1.8,15,0,1,0
11.37611,3.4,0.25,0,0,1
11.36878,3.4,0.75,0,0,1
11.2267,3.4,3,0,0,1
11.09288,3,7.5,0,0,0
11.8125,1.7,0.25,0,0,1
11.34441,1.7,24,0,0,1
11.34063,3.6,0.25,0,0,1
11.33562,3.6,0.75,0,0,1
11.43406,3,0.75,0,0,0
11.29246,3,3,0,0,0
11.23847,2.3,7.5,0,0,0
11.15902,2.3,24,0,0,0
11.64462,2.1,0.75,0,0,1
11.29669,2.1,15,0,0,1
